"AGENT_NO","LONGT","LAT"
7696,167.925,-44.625
7697,167.925,-44.675
7698,167.925,-44.725
7699,167.925,-44.775
7700,167.925,-44.825
7701,167.925,-44.875
7702,167.925,-44.925
7703,167.925,-44.975
7704,167.925,-45.025
7705,167.925,-45.075
7706,167.925,-45.125
7707,167.925,-45.175
7708,167.925,-45.225
7709,167.925,-45.275
7710,167.925,-45.325
7711,167.925,-45.375
7712,167.925,-45.425
7713,167.925,-45.475
7714,167.925,-45.525
7715,167.925,-45.575
7716,167.925,-45.625
7717,167.925,-45.675
7718,167.925,-45.725
7719,167.925,-45.775
7720,167.925,-45.825
7721,167.925,-45.875
7722,167.925,-45.925
7723,167.925,-45.975
7724,167.925,-46.025
7725,167.925,-46.075
7728,167.925,-46.125
7730,167.925,-46.175
7731,167.925,-46.225
7732,167.925,-46.275
7733,167.925,-46.325
,167.925,-46.375
,167.925,-46.425
,167.925,-46.475
,167.925,-46.525
,167.925,-46.575
,167.925,-46.625
,167.925,-46.675
7734,167.925,-46.725
7735,167.925,-46.775
7736,167.925,-46.825
7737,167.925,-46.875
7738,167.925,-46.925
,167.925,-46.975
7739,167.925,-47.025
7740,167.925,-47.075
7741,167.925,-47.125
,167.925,-47.175
,167.925,-47.225
,167.925,-47.275
,167.925,-47.325
,167.925,-47.375
,167.925,-47.425
,167.975,-43.925
,167.975,-43.975
,167.975,-44.025
,167.975,-44.075
,167.975,-44.125
,167.975,-44.175
,167.975,-44.225
,167.975,-44.275
,167.975,-44.325
,167.975,-44.375
,167.825,-46.675
7742,167.825,-46.725
7743,167.825,-46.775
7744,167.825,-46.825
7745,167.825,-46.875
7746,167.825,-46.925
7747,167.825,-46.975
7748,167.825,-47.025
7749,167.825,-47.075
7750,167.825,-47.125
7751,167.825,-47.175
,167.825,-47.225
,167.825,-47.275
,167.825,-47.325
,167.825,-47.375
,167.825,-47.425
,167.825,-47.475
,167.875,-44.025
,167.875,-44.075
,167.875,-44.125
,167.875,-44.175
,167.875,-44.225
,167.875,-44.275
,167.875,-44.325
,167.875,-44.375
,167.875,-44.425
7752,167.875,-44.475
7753,167.875,-44.525
7754,167.875,-44.575
,167.875,-44.625
7755,167.875,-44.675
7756,167.875,-44.725
7757,167.875,-44.775
7758,167.875,-44.825
7759,167.875,-44.875
7760,167.875,-44.925
7761,167.875,-44.975
7762,167.875,-45.025
7763,167.875,-45.075
7764,167.875,-45.125
7765,167.875,-45.175
7766,167.875,-45.225
7767,168.175,-44.275
7768,168.175,-44.325
7769,168.175,-44.375
7770,168.175,-44.425
7771,168.175,-44.475
7772,168.175,-44.525
7773,168.175,-44.575
7774,168.175,-44.625
7775,168.175,-44.675
7776,168.175,-44.725
7777,168.175,-44.775
7778,168.175,-44.825
7779,168.175,-44.875
7780,168.175,-44.925
7781,168.175,-44.975
7920,168.175,-45.025
7930,168.175,-45.075
7936,168.175,-45.125
8450,168.175,-45.175
8451,168.175,-45.225
8452,168.175,-45.275
8453,168.175,-45.325
8454,168.175,-45.375
8455,168.175,-45.425
8456,168.175,-45.475
8457,168.175,-45.525
8458,168.175,-45.575
8459,168.175,-45.625
8460,168.175,-45.675
8461,168.175,-45.725
8631,168.175,-45.775
8632,168.175,-45.825
8633,168.175,-45.875
8634,168.175,-45.925
8635,168.175,-45.975
8636,168.175,-46.025
8637,168.175,-46.075
8638,168.175,-46.125
8639,168.175,-46.175
8640,168.175,-46.225
8641,168.425,-44.675
8650,168.425,-44.725
8695,168.425,-44.775
8731,168.425,-44.825
8732,168.425,-44.875
8733,168.425,-44.925
8734,168.425,-44.975
8735,168.425,-45.025
8736,168.425,-45.075
8737,168.425,-45.125
8738,168.425,-45.175
8739,168.425,-45.225
8740,168.425,-45.275
8741,168.425,-45.325
8749,168.425,-45.375
8750,168.425,-45.425
8751,168.425,-45.475
8752,168.425,-45.525
8753,168.425,-45.575
8754,168.425,-45.625
8755,168.425,-45.675
8756,168.425,-45.725
8757,168.425,-45.775
8758,168.425,-45.825
8759,168.425,-45.875
8760,168.425,-45.925
8761,168.425,-45.975
8780,168.425,-46.025
8781,168.425,-46.075
8782,168.425,-46.125
8783,168.425,-46.175
8784,168.425,-46.225
8785,168.425,-46.275
8786,168.425,-46.325
8787,168.425,-46.375
8788,168.425,-46.425
8789,168.425,-46.475
8790,168.425,-46.525
,168.425,-46.575
,168.425,-46.625
,168.425,-46.675
8791,167.975,-44.425
8792,167.975,-44.475
8793,167.975,-44.525
8794,167.975,-44.575
8802,167.975,-44.625
8803,167.975,-44.675
8804,167.975,-44.725
8805,167.975,-44.775
8806,167.975,-44.825
8807,167.975,-44.875
8808,167.975,-44.925
8809,167.975,-44.975
8810,167.975,-45.025
8811,167.975,-45.075
8812,167.975,-45.125
8813,167.975,-45.175
8814,167.975,-45.225
8830,167.975,-45.275
8831,167.975,-45.325
8832,167.975,-45.375
8833,167.975,-45.425
8834,167.975,-45.475
9035,167.975,-45.525
9048,167.975,-45.575
9049,167.975,-45.625
9050,167.975,-45.675
9051,167.975,-45.725
9052,167.975,-45.775
9053,167.975,-45.825
9054,167.975,-45.875
9061,167.975,-45.925
9062,167.975,-45.975
9063,167.975,-46.025
9064,167.975,-46.075
9065,167.975,-46.125
9066,167.975,-46.175
9067,167.975,-46.225
9068,167.975,-46.275
9069,167.975,-46.325
9070,167.975,-46.375
9071,168.175,-46.275
9072,168.175,-46.325
9073,168.175,-46.375
,168.175,-46.425
,168.175,-46.475
,168.175,-46.525
,168.175,-46.575
,168.175,-46.625
,168.175,-46.675
,168.175,-46.725
,168.175,-46.775
,168.175,-46.825
,168.175,-46.875
,168.175,-46.925
,168.175,-46.975
9074,168.175,-47.025
,168.175,-47.075
,168.175,-47.125
,168.175,-47.175
,168.175,-47.225
,168.175,-47.275
,168.175,-47.325
,168.175,-47.375
,168.225,-43.775
,168.225,-43.825
,168.225,-43.875
,168.225,-43.925
,168.225,-43.975
,168.225,-44.025
,168.225,-44.075
,168.225,-44.125
9076,168.225,-44.175
9077,168.225,-44.225
9078,168.225,-44.275
9079,168.225,-44.325
9080,168.225,-44.375
9081,168.225,-44.425
9082,168.225,-44.475
9083,168.225,-44.525
9084,168.225,-44.575
9085,168.225,-44.625
9086,168.225,-44.675
,168.425,-46.725
,168.425,-46.775
,168.425,-46.825
,168.425,-46.875
,168.425,-46.925
,168.425,-46.975
,168.425,-47.025
,168.425,-47.075
,168.425,-47.125
,168.425,-47.175
,168.425,-47.225
,168.425,-47.275
,168.475,-43.775
,168.475,-43.825
,168.475,-43.875
,168.475,-43.925
,168.475,-43.975
9087,168.475,-44.025
9088,168.475,-44.075
9089,168.475,-44.125
9090,168.475,-44.175
9091,168.475,-44.225
9092,168.475,-44.275
9093,168.475,-44.325
9094,168.475,-44.375
9106,168.475,-44.425
9107,168.475,-44.475
9108,168.475,-44.525
9109,168.475,-44.575
9110,168.475,-44.625
9111,168.475,-44.675
9112,168.475,-44.725
9113,168.475,-44.775
9114,168.475,-44.825
9154,168.475,-44.875
9157,168.475,-44.925
9158,168.475,-44.975
9159,168.475,-45.025
9160,168.475,-45.075
9161,168.475,-45.125
9162,168.475,-45.175
9163,168.475,-45.225
,167.975,-46.425
,167.975,-46.475
,167.975,-46.525
,167.975,-46.575
,167.975,-46.625
,167.975,-46.675
,167.975,-46.725
9164,167.975,-46.775
9165,167.975,-46.825
9166,167.975,-46.875
9167,167.975,-46.925
9168,167.975,-46.975
9169,167.975,-47.025
9170,167.975,-47.075
9171,167.975,-47.125
,167.975,-47.175
,167.975,-47.225
,167.975,-47.275
,167.975,-47.325
,167.975,-47.375
,167.975,-47.425
,168.025,-43.875
,168.025,-43.925
,168.025,-43.975
,168.025,-44.025
,168.025,-44.075
,168.025,-44.125
,168.025,-44.175
,168.025,-44.225
,168.025,-44.275
,168.025,-44.325
9172,168.025,-44.375
9173,168.025,-44.425
9174,168.025,-44.475
9205,168.025,-44.525
9206,168.025,-44.575
9207,168.025,-44.625
9208,168.025,-44.675
9209,168.025,-44.725
9210,168.025,-44.775
9211,168.025,-44.825
9212,168.025,-44.875
9213,168.225,-44.725
9214,168.225,-44.775
9219,168.225,-44.825
9220,168.225,-44.875
9221,168.225,-44.925
9222,168.225,-44.975
9223,168.225,-45.025
9224,168.225,-45.075
9225,168.225,-45.125
9226,168.225,-45.175
9227,168.225,-45.225
9228,168.225,-45.275
9229,168.225,-45.325
9230,168.225,-45.375
9231,168.225,-45.425
9232,168.225,-45.475
9233,168.225,-45.525
9234,168.225,-45.575
9282,168.225,-45.625
9283,168.225,-45.675
9284,168.225,-45.725
9285,168.225,-45.775
9286,168.225,-45.825
9287,168.225,-45.875
9288,168.225,-45.925
9289,168.225,-45.975
9290,168.225,-46.025
9291,168.225,-46.075
9292,168.225,-46.125
9293,168.225,-46.175
9294,168.225,-46.225
9302,168.225,-46.275
9306,168.225,-46.325
9316,168.225,-46.375
,168.225,-46.425
,168.225,-46.475
,168.225,-46.525
,168.225,-46.575
,168.225,-46.625
,168.225,-46.675
,168.225,-46.725
9317,168.475,-45.275
9318,168.475,-45.325
9319,168.475,-45.375
9320,168.475,-45.425
9321,168.475,-45.475
9322,168.475,-45.525
9323,168.475,-45.575
9324,168.475,-45.625
9325,168.475,-45.675
9326,168.475,-45.725
9327,168.475,-45.775
9328,168.475,-45.825
9329,168.475,-45.875
9330,168.475,-45.925
9331,168.475,-45.975
9332,168.475,-46.025
9333,168.475,-46.075
9334,168.475,-46.125
9337,168.475,-46.175
9338,168.475,-46.225
9339,168.475,-46.275
9340,168.475,-46.325
9341,168.475,-46.375
9342,168.475,-46.425
9343,168.475,-46.475
9344,168.475,-46.525
,168.475,-46.575
,168.475,-46.625
,168.475,-46.675
,168.475,-46.725
,168.475,-46.775
,168.475,-46.825
,168.525,-43.775
,168.525,-43.825
,168.525,-43.875
,168.525,-43.925
,168.525,-43.975
9345,168.525,-44.025
9346,168.525,-44.075
9347,168.525,-44.125
9348,168.525,-44.175
9349,168.025,-44.925
9350,168.025,-44.975
9351,168.025,-45.025
9352,168.025,-45.075
9353,168.025,-45.125
9354,168.025,-45.175
9425,168.025,-45.225
9506,168.025,-45.275
9507,168.025,-45.325
9508,168.025,-45.375
9509,168.025,-45.425
9510,168.025,-45.475
9511,168.025,-45.525
9512,168.025,-45.575
9513,168.025,-45.625
9514,168.025,-45.675
9515,168.025,-45.725
9516,168.025,-45.775
9517,168.025,-45.825
9569,168.025,-45.875
9570,168.025,-45.925
9571,168.025,-45.975
9572,168.025,-46.025
9573,168.025,-46.075
9574,168.025,-46.125
9575,168.025,-46.175
9576,168.025,-46.225
9637,168.025,-46.275
9638,168.025,-46.325
,168.025,-46.375
,168.025,-46.425
,168.025,-46.475
,168.025,-46.525
,168.025,-46.575
,168.025,-46.625
,168.025,-46.675
,168.025,-46.725
,168.025,-46.775
9639,168.025,-46.825
9640,168.025,-46.875
,168.025,-46.925
,168.225,-46.775
,168.225,-46.825
,168.225,-46.875
,168.225,-46.925
,168.225,-46.975
,168.225,-47.025
,168.225,-47.075
,168.225,-47.125
,168.225,-47.175
,168.225,-47.225
,168.225,-47.275
,168.225,-47.325
,168.225,-47.375
,168.275,-43.775
,168.275,-43.825
,168.275,-43.875
,168.275,-43.925
,168.275,-43.975
,168.275,-44.025
,168.275,-44.075
9641,168.275,-44.125
9642,168.275,-44.175
9643,168.275,-44.225
9644,168.275,-44.275
9655,168.275,-44.325
9656,168.275,-44.375
9657,168.275,-44.425
9658,168.275,-44.475
9659,168.275,-44.525
9660,168.275,-44.575
9661,168.275,-44.625
9662,168.275,-44.675
9663,168.275,-44.725
9664,168.275,-44.775
9702,168.275,-44.825
9703,168.275,-44.875
9704,168.275,-44.925
9705,168.275,-44.975
9706,168.275,-45.025
9707,168.275,-45.075
9708,168.275,-45.125
9709,168.275,-45.175
9710,168.525,-44.225
9711,168.525,-44.275
9712,168.525,-44.325
9713,168.525,-44.375
9714,168.525,-44.425
9715,168.525,-44.475
9725,168.525,-44.525
9726,168.525,-44.575
9727,168.525,-44.625
9728,168.525,-44.675
9729,168.525,-44.725
9730,168.525,-44.775
9731,168.525,-44.825
9732,168.525,-44.875
9733,168.525,-44.925
9734,168.525,-44.975
9735,168.525,-45.025
9737,168.525,-45.075
9738,168.525,-45.125
9739,168.525,-45.175
9740,168.525,-45.225
9741,168.525,-45.275
9742,168.525,-45.325
9743,168.525,-45.375
9744,168.525,-45.425
9745,168.525,-45.475
9746,168.525,-45.525
9747,168.525,-45.575
9748,168.525,-45.625
9749,168.525,-45.675
9750,168.525,-45.725
9751,168.525,-45.775
9752,168.525,-45.825
9753,168.525,-45.875
9754,168.525,-45.925
9755,168.525,-45.975
9796,168.525,-46.025
9797,168.525,-46.075
9798,168.525,-46.125
